sample_index	font	target_char	style_chars	value_cosine_offdiag_mean	value_cosine_offdiag_median	value_cosine_offdiag_std	value_cosine_offdiag_min	value_cosine_offdiag_max	value_cosine_offdiag_q1	value_cosine_offdiag_q3	context_cosine_offdiag_mean	context_cosine_offdiag_median	context_cosine_offdiag_std	context_cosine_offdiag_min	context_cosine_offdiag_max	context_cosine_offdiag_q1	context_cosine_offdiag_q3	raw_style_token_cosine_offdiag_mean	raw_style_token_cosine_offdiag_median	raw_style_token_cosine_offdiag_std	raw_style_token_cosine_offdiag_min	raw_style_token_cosine_offdiag_max	raw_style_token_cosine_offdiag_q1	raw_style_token_cosine_offdiag_q3
72871	方正兰亭特黑扁简体	已	唱,邮,笆,刃,节,玉	0.9155733585357666	0.9210689663887024	0.0285805594176054	0.8655180335044861	0.9549527168273926	0.9000996351242065	0.9425187110900879	0.9156582951545715	0.9180948138237	0.02336629293859005	0.8737512230873108	0.9681087136268616	0.9025378227233887	0.9290429353713989	0.9463279843330383	0.9476728439331055	0.020268548280000687	0.9013978242874146	0.9768481254577637	0.9364673495292664	0.9611306190490723
280190	方正超粗黑简体	涝	斋,厅,甩,墅,赵,蹭	0.932103157043457	0.934329628944397	0.027053620666265488	0.8751381635665894	0.9661011695861816	0.9102017879486084	0.9544818997383118	0.8947934508323669	0.8974875211715698	0.03169679641723633	0.8389338850975037	0.950824499130249	0.8709208965301514	0.916708767414093	0.9572890400886536	0.9605764150619507	0.019189514219760895	0.9139963388442993	0.9832743406295776	0.9463412761688232	0.9733389019966125
106070	方正品尚黑简体	殴	鲫,苛,驱,夕,星,涉	0.8397648930549622	0.866445779800415	0.09517604112625122	0.675305962562561	0.9612821936607361	0.7424454092979431	0.9216864109039307	0.8116353154182434	0.8142958879470825	0.06991049647331238	0.7138937711715698	0.9380500912666321	0.7430628538131714	0.8762304186820984	0.9027969241142273	0.9149891138076782	0.05760987475514412	0.7785104513168335	0.9776872992515564	0.8596935272216797	0.9526148438453674
173609	方正新报宋简体	鬼	炫,膏,拿,巧,铡,驴	0.8966999650001526	0.9172772169113159	0.048376284539699554	0.8016207218170166	0.9596346616744995	0.859858512878418	0.9345158338546753	0.9252833724021912	0.9220852851867676	0.020857227966189384	0.8806891441345215	0.960856556892395	0.9096114635467529	0.9356185793876648	0.9103482365608215	0.9282026886940002	0.04588809609413147	0.8131803870201111	0.9716024398803711	0.8726264834403992	0.948403000831604
170069	方正敬酷黑 简	卫	廉,皿,众,包,乖,距	0.8586513996124268	0.8706401586532593	0.07039699703454971	0.7106742858886719	0.962989091873169	0.8004401326179504	0.912610650062561	0.8863976001739502	0.8852195739746094	0.04896477982401848	0.795683741569519	0.9626023769378662	0.8450525999069214	0.9308507442474365	0.9276003241539001	0.9374914169311523	0.039975643157958984	0.8504501581192017	0.9812548160552979	0.9052959680557251	0.9578487873077393
244691	方正粗活意简体	赘	斤,氏,说,黔,回,呈	0.8126862049102783	0.8214041590690613	0.08211647719144821	0.6505396366119385	0.9312562346458435	0.7545710206031799	0.8834952712059021	0.7186254262924194	0.6974718570709229	0.07282222807407379	0.6422750949859619	0.8908826112747192	0.6595985293388367	0.7805572152137756	0.9013198018074036	0.910552442073822	0.04719353839755058	0.7956961989402771	0.9609419703483582	0.8634845614433289	0.9375231266021729
19882	STZHONGS	臼	棠,炫,灭,俱,渗,驱	0.9141680002212524	0.917653501033783	0.03125423192977905	0.8496943712234497	0.9615465998649597	0.8927951455116272	0.9383588433265686	0.9082464575767517	0.9063839316368103	0.03498535230755806	0.8516854047775269	0.9723756909370422	0.8756800889968872	0.9329942464828491	0.9503052234649658	0.9503121972084045	0.019713984802365303	0.9039863348007202	0.9791370034217834	0.9363111257553101	0.965312123298645
113240	方正奇妙体 简繁	果	趾,默,固,亡,垒,亮	0.8360739350318909	0.871415913105011	0.09591388702392578	0.603668749332428	0.9455963969230652	0.7748651504516602	0.9114117622375488	0.8657612204551697	0.8550041317939758	0.058631185442209244	0.7903435230255127	0.9439560174942017	0.809651255607605	0.9331532120704651	0.8611966371536255	0.8737115859985352	0.08138179033994675	0.6706080436706543	0.959352433681488	0.8127519488334656	0.9358415603637695
275413	方正褚遂良楷书 简	命	川,牛,泻,地,宁,弧	0.9191846251487732	0.9216091632843018	0.03476306423544884	0.8491191267967224	0.9714661836624146	0.912859320640564	0.9384718537330627	0.8606923222541809	0.8600280284881592	0.04694293066859245	0.7625935673713684	0.9435996413230896	0.8298920392990112	0.8874210715293884	0.9705248475074768	0.9696707129478455	0.011697684414684772	0.9479901790618896	0.9917688965797424	0.9632522463798523	0.9795803427696228
234122	方正硬笔楷书简体	蚯	伤,壮,隐,沿,草,欢	0.9281249642372131	0.9311971664428711	0.016360364854335785	0.8872568607330322	0.957121729850769	0.92174232006073	0.9358165860176086	0.8574897646903992	0.8613951802253723	0.0371517650783062	0.7766901254653931	0.9173157811164856	0.8354142904281616	0.8773105144500732	0.9732943177223206	0.9739428758621216	0.008308149874210358	0.9510300755500793	0.9840719699859619	0.9705084562301636	0.9786524176597595
293964	方正雅珠体简体 Bold	淋	垂,枢,木,瘤,壶,域	0.8986301422119141	0.8976581692695618	0.03126608207821846	0.8265178799629211	0.9454245567321777	0.8780294060707092	0.9252039194107056	0.8174335956573486	0.8559698462486267	0.10115782171487808	0.5532033443450928	0.9448981285095215	0.7687748670578003	0.8905481100082397	0.925022304058075	0.9335609674453735	0.036422669887542725	0.8215317726135254	0.9724955558776855	0.9103243350982666	0.9512108564376831
132911	方正字汇-风铃悠悠 简	路	谚,幻,缸,钝,澳,轮	0.8997815251350403	0.9052140712738037	0.032940350472927094	0.8427599668502808	0.9460152387619019	0.8790978193283081	0.929459810256958	0.8773843050003052	0.8799684047698975	0.03156646713614464	0.8133888840675354	0.9245131611824036	0.8557502031326294	0.9053566455841064	0.9541404843330383	0.961742639541626	0.016189679503440857	0.9181404113769531	0.9733113050460815	0.9390982389450073	0.9659132957458496
38583	华康少女体 	觅	囊,唱,茸,徊,苍,粥	0.9090815186500549	0.9127845764160156	0.03112323209643364	0.8460082411766052	0.9651501774787903	0.8798235654830933	0.9299334287643433	0.8778572082519531	0.8823184370994568	0.045611672103405	0.7844492793083191	0.9558273553848267	0.8393454551696777	0.9090831279754639	0.9259618520736694	0.9304765462875366	0.03061389923095703	0.8660606145858765	0.9774627685546875	0.8987454175949097	0.9519192576408386
290252	方正隶变简体	川	剑,四,王,爪,俭,牌	0.884669303894043	0.9023562073707581	0.05090537294745445	0.7793307304382324	0.9720531702041626	0.8433167338371277	0.9206266403198242	0.7994649410247803	0.7908185124397278	0.051770828664302826	0.714148223400116	0.8964534401893616	0.7559611797332764	0.8308716416358948	0.9406484961509705	0.9440251588821411	0.025677403435111046	0.8734674453735352	0.9824347496032715	0.9229145050048828	0.957148551940918
255592	方正细金陵简体	舱	零,憎,抬,计,忠,论	0.9297472834587097	0.938123881816864	0.025760047137737274	0.8751365542411804	0.9637832641601562	0.9077011346817017	0.9482788443565369	0.9104148745536804	0.917044997215271	0.03213582932949066	0.8517734408378601	0.9538448452949524	0.8824776411056519	0.942736804485321	0.9623733758926392	0.9667360186576843	0.012987719848752022	0.9370376467704773	0.9797146320343018	0.9522860050201416	0.9710674285888672
1608	GF_ofl_notosanssc_NotoSansSC[wght]	静	计,歧,作,歹,鲤,服	0.9066068530082703	0.9121050834655762	0.05248585715889931	0.8089659214019775	0.9700738787651062	0.8594706654548645	0.9523165225982666	0.9005690217018127	0.904487133026123	0.03379019349813461	0.8286186456680298	0.9465708136558533	0.8715367317199707	0.9305018186569214	0.9155880212783813	0.9234375953674316	0.05670585855841637	0.8245630264282227	0.9789215922355652	0.8606120347976685	0.9664312601089478
246040	方正粗雅宋简体	压	磕,烹,昨,园,贾,咪	0.9245923161506653	0.9258409738540649	0.029791807755827904	0.857231616973877	0.9689566493034363	0.9100432395935059	0.9459253549575806	0.9340700507164001	0.939147412776947	0.021699147298932076	0.8753484487533569	0.9600108861923218	0.9213641285896301	0.9498894214630127	0.9569433927536011	0.9587411284446716	0.016885872930288315	0.926934540271759	0.9770539999008179	0.9406731724739075	0.9734440445899963
312634	方正魏碑简体	琴	希,识,肾,孔,焰,铭	0.9187017679214478	0.9171860218048096	0.02276306226849556	0.8768187761306763	0.9529869556427002	0.905450701713562	0.940165102481842	0.7802512049674988	0.7717487812042236	0.08239801228046417	0.6407709717750549	0.9227473735809326	0.7076325416564941	0.8271852135658264	0.969072699546814	0.9677470326423645	0.008782343938946724	0.951116144657135	0.9834304451942444	0.9640553593635559	0.9747754335403442
48083	方正中倩简体	巧	碟,厘,服,眶,粒,石	0.9209691286087036	0.9231090545654297	0.0446346290409565	0.8223487138748169	0.9797045588493347	0.8869643211364746	0.9634032845497131	0.8985851407051086	0.9337419271469116	0.06184491887688637	0.7930240631103516	0.963275671005249	0.8331145644187927	0.9489685297012329	0.9505437016487122	0.9605401158332825	0.03274088725447655	0.8843174576759338	0.9874809980392456	0.9323626160621643	0.9762084484100342
250429	方正细倩简体	蓄	饿,甫,楣,仲,骡,吓	0.9175021052360535	0.9148205518722534	0.03265858441591263	0.840595006942749	0.9728082418441772	0.8987473845481873	0.9433993697166443	0.9076927304267883	0.903033435344696	0.022363964468240738	0.869644045829773	0.965957522392273	0.8932937979698181	0.9213797450065613	0.9322765469551086	0.9411213994026184	0.031093893572688103	0.8629040718078613	0.9870896339416504	0.9102087020874023	0.9514346718788147
233673	方正盛世楷书简体_Zhun	骡	蔫,哈,圆,叶,喘,疙	0.9001643657684326	0.914567768573761	0.053278688341379166	0.7971174120903015	0.9659053087234497	0.8618323802947998	0.947023868560791	0.9238879680633545	0.9276114702224731	0.02704005129635334	0.8577954769134521	0.9640275835990906	0.9072967767715454	0.9471887350082397	0.9308274388313293	0.9372230172157288	0.035599954426288605	0.8586048483848572	0.9748842716217041	0.9109979867935181	0.9613866806030273
242597	方正粗宋简体	塔	尖,噩,侧,怠,逆,芝	0.8933457732200623	0.8938318490982056	0.04447122663259506	0.8309758901596069	0.9532408118247986	0.8500910401344299	0.9356766939163208	0.9138164520263672	0.9119910597801208	0.023887356743216515	0.8800000548362732	0.9540388584136963	0.8901267051696777	0.9357774257659912	0.9259716868400574	0.9362006783485413	0.040046576410532	0.8544199466705322	0.9699234962463379	0.8942400217056274	0.9632273316383362
311578	方正飞逸体 简	欧	批,捶,喻,鬓,政,亚	0.9556829929351807	0.9608349800109863	0.019973332062363625	0.913017749786377	0.9823275804519653	0.9372268915176392	0.9719569683074951	0.9323257207870483	0.9410187602043152	0.02694188803434372	0.8853639364242554	0.9779890179634094	0.9093515872955322	0.9521579742431641	0.9742084741592407	0.9798333048820496	0.012978922575712204	0.946662425994873	0.9887367486953735	0.9650670289993286	0.9836546182632446
276535	方正西狭颂隶书 简	公	出,伍,疙,睡,窒,由	0.9108577370643616	0.9319993257522583	0.046763770282268524	0.8005945086479187	0.9730992317199707	0.8811814785003662	0.9416629672050476	0.8016976118087769	0.8491774797439575	0.09056893736124039	0.5778031945228577	0.8900585174560547	0.7735582590103149	0.8622739911079407	0.9604445099830627	0.96381014585495	0.02136862277984619	0.9014115929603577	0.9883941411972046	0.9481258988380432	0.9759536385536194
