sample_pos	sample_index	font	target_char	ref_idx	style_char	value_mean	value_median	value_std	value_min	value_max	value_q1	value_q3	context_mean	context_median	context_std	context_min	context_max	context_q1	context_q3	raw_style_token_mean	raw_style_token_median	raw_style_token_std	raw_style_token_min	raw_style_token_max	raw_style_token_q1	raw_style_token_q3	same_position_mass	attention_entropy
0	10476	方正字汇-快乐海涛体 简	雌	0	唱	0.019174719229340553	0.030758649110794067	0.2927165627479553	-0.7760189771652222	0.8637239933013916	-0.17699187994003296	0.21151518821716309	0.05261116847395897	0.03228834643959999	0.7251616716384888	-2.063746929168701	2.3150830268859863	-0.4394803047180176	0.5499266982078552	0.003522316925227642	0.02093455195426941	0.6182854771614075	-1.8141107559204102	1.44670832157135	-0.3986470699310303	0.48498740792274475	0.006557751912623644	4.344951629638672
0	10476	方正字汇-快乐海涛体 简	雌	1	了	0.021386921405792236	0.02663019299507141	0.3123585283756256	-0.900370717048645	0.9254117012023926	-0.19687524437904358	0.24612700939178467	0.006917310878634453	0.009729539044201374	0.3557601869106293	-1.0336695909500122	1.0394575595855713	-0.22172187268733978	0.27505651116371155	0.1012556403875351	0.07106730341911316	1.0037962198257446	-3.1483519077301025	2.7858595848083496	-0.569037914276123	0.7670611143112183	0.006622121669352055	4.4007673263549805
0	10476	方正字汇-快乐海涛体 简	雌	2	笆	0.022242743521928787	0.047872934490442276	0.2970341742038727	-0.8427724838256836	0.7872525453567505	-0.17075389623641968	0.22347742319107056	0.035312458872795105	0.03913738578557968	0.7255809903144836	-2.2935631275177	2.0580801963806152	-0.5047929286956787	0.5480867028236389	-0.0020642317831516266	0.0240984708070755	0.6424558758735657	-1.89010488986969	1.621362328529358	-0.42077383399009705	0.49030065536499023	0.006375056691467762	4.272655963897705
0	10476	方正字汇-快乐海涛体 简	雌	3	刃	0.01753956824541092	0.02330310270190239	0.30433544516563416	-0.9961119890213013	0.8381760120391846	-0.18255615234375	0.23046821355819702	0.01253137644380331	0.02549586072564125	0.5033151507377625	-1.3715780973434448	1.6025370359420776	-0.348905086517334	0.3504622280597687	0.061482034623622894	0.05967307463288307	0.817426323890686	-2.295980453491211	2.120457172393799	-0.4546010494232178	0.6640173196792603	0.0065915887244045734	4.425652027130127
0	10476	方正字汇-快乐海涛体 简	雌	4	节	0.023434147238731384	0.027403738349676132	0.27587246894836426	-0.8352912664413452	0.7948709726333618	-0.17754173278808594	0.22366118431091309	0.021195316687226295	0.01480304915457964	0.5556961297988892	-1.9774620532989502	1.6684203147888184	-0.38541722297668457	0.36211761832237244	0.055939145386219025	0.0703287273645401	0.796059250831604	-2.3760080337524414	2.120514154434204	-0.47170817852020264	0.6082770824432373	0.0067504090256989	4.285529136657715
0	10476	方正字汇-快乐海涛体 简	雌	5	击	0.02055499330163002	0.03742410987615585	0.2956250309944153	-0.924704909324646	0.8974636197090149	-0.20087245106697083	0.22095432877540588	0.027653325349092484	0.004022983834147453	0.724076509475708	-2.2947754859924316	2.244802713394165	-0.4798581898212433	0.5299721956253052	0.027406517416238785	0.02650274895131588	0.7486759424209595	-2.1194207668304443	1.8937476873397827	-0.4602145552635193	0.5946719646453857	0.006173979490995407	4.284035682678223
1	1824	STSONG	毯	0	非	0.010919470340013504	-0.01912343129515648	0.305626779794693	-0.776250958442688	0.8011782169342041	-0.22043350338935852	0.22904951870441437	0.0012481901794672012	0.0256013385951519	0.48417073488235474	-1.9491398334503174	1.3845146894454956	-0.2982734441757202	0.29893696308135986	-0.022666072472929955	0.027938473969697952	0.6089017987251282	-1.8510100841522217	1.5357964038848877	-0.48202165961265564	0.37869030237197876	0.007199747022241354	4.098114490509033
1	1824	STSONG	毯	1	匠	0.016070622950792313	0.008292600512504578	0.319787859916687	-0.6447772979736328	0.8634334206581116	-0.22228220105171204	0.22912262380123138	-0.0028862468898296356	0.015819409862160683	0.5177124738693237	-2.265305995941162	1.709790825843811	-0.35880959033966064	0.3125755488872528	-0.024336349219083786	-0.019460558891296387	0.6286370754241943	-2.0928053855895996	1.7574028968811035	-0.40269702672958374	0.4221080541610718	0.006484003737568855	4.21878719329834
1	1824	STSONG	毯	2	剿	0.004330843687057495	0.0016040913760662079	0.3233417868614197	-0.8170017004013062	0.8591939210891724	-0.22566944360733032	0.24957236647605896	0.001108434982597828	0.03905129060149193	0.5676634311676025	-2.96311092376709	1.5502655506134033	-0.3331548273563385	0.34483766555786133	-0.03203052282333374	-0.01236666738986969	0.5938675403594971	-2.0768675804138184	1.3559579849243164	-0.4520309269428253	0.47024568915367126	0.007260416634380817	4.158684730529785
1	1824	STSONG	毯	3	圆	0.01413684617727995	-0.016158796846866608	0.3455800712108612	-0.7369255423545837	1.0065423250198364	-0.2592136263847351	0.27363017201423645	0.009623254649341106	0.014690137468278408	0.5241369009017944	-2.6720943450927734	1.509129524230957	-0.30079519748687744	0.31726619601249695	-0.0244215726852417	-0.02988840639591217	0.6450628042221069	-2.0645735263824463	1.7007248401641846	-0.44706305861473083	0.4614202678203583	0.006278621964156628	4.102149963378906
