block	timestep	content_hidden_rms_mean	content_hidden_rms_median	content_hidden_rms_std	content_hidden_rms_min	content_hidden_rms_max	content_hidden_rms_q1	content_hidden_rms_q3	style_hidden_rms_mean	style_hidden_rms_median	style_hidden_rms_std	style_hidden_rms_min	style_hidden_rms_max	style_hidden_rms_q1	style_hidden_rms_q3	content_hidden_over_style_hidden_mean	content_hidden_over_style_hidden_median	content_hidden_over_style_hidden_std	content_hidden_over_style_hidden_min	content_hidden_over_style_hidden_max	content_hidden_over_style_hidden_q1	content_hidden_over_style_hidden_q3	content_delta_rms_mean	content_delta_rms_median	content_delta_rms_std	content_delta_rms_min	content_delta_rms_max	content_delta_rms_q1	content_delta_rms_q3	style_delta_rms_mean	style_delta_rms_median	style_delta_rms_std	style_delta_rms_min	style_delta_rms_max	style_delta_rms_q1	style_delta_rms_q3	content_delta_over_style_delta_mean	content_delta_over_style_delta_median	content_delta_over_style_delta_std	content_delta_over_style_delta_min	content_delta_over_style_delta_max	content_delta_over_style_delta_q1	content_delta_over_style_delta_q3	tendency
1	0.1	1.1133084297180176	1.1111196279525757	0.06507702171802521	0.9076753854751587	1.3009426593780518	1.0647709369659424	1.1628687381744385	1.2126014232635498	1.2076460123062134	0.07543494552373886	0.9606386423110962	1.488054633140564	1.1599161624908447	1.2598042488098145	0.9210373759269714	0.9193747639656067	0.07087332755327225	0.6779916286468506	1.156394124031067	0.8724721670150757	0.9687082171440125	0.2637113332748413	0.2569761276245117	0.05339185893535614	0.13239842653274536	0.46691203117370605	0.22554513812065125	0.2975398302078247	0.25223448872566223	0.2441038340330124	0.05446314811706543	0.13326728343963623	0.47653740644454956	0.2107245922088623	0.28605276346206665	1.076614260673523	1.0471004247665405	0.2526654303073883	0.4904940128326416	2.0483758449554443	0.8882784247398376	1.235045075416565	content
1	0.5	1.1133084297180176	1.1111196279525757	0.06507702171802521	0.9076753854751587	1.3009426593780518	1.0647709369659424	1.1628687381744385	1.2126014232635498	1.2076460123062134	0.07543494552373886	0.9606386423110962	1.488054633140564	1.1599161624908447	1.2598042488098145	0.9210373759269714	0.9193747639656067	0.07087332755327225	0.6779916286468506	1.156394124031067	0.8724721670150757	0.9687082171440125	0.1549050509929657	0.1510019600391388	0.030709082260727882	0.07593458890914917	0.2827920615673065	0.1329386830329895	0.17261117696762085	0.1287052184343338	0.12322595715522766	0.03155137225985527	0.058769989758729935	0.26395976543426514	0.10608568042516708	0.1462167352437973	1.2432031631469727	1.2189079523086548	0.2677672803401947	0.653249979019165	2.3749632835388184	1.0452162027359009	1.4109642505645752	content
1	0.9	1.1133084297180176	1.1111196279525757	0.06507702171802521	0.9076753854751587	1.3009426593780518	1.0647709369659424	1.1628687381744385	1.2126014232635498	1.2076460123062134	0.07543494552373886	0.9606386423110962	1.488054633140564	1.1599161624908447	1.2598042488098145	0.9210373759269714	0.9193747639656067	0.07087332755327225	0.6779916286468506	1.156394124031067	0.8724721670150757	0.9687082171440125	0.1039300411939621	0.10197123885154724	0.02021653577685356	0.0476100780069828	0.2059391438961029	0.08957225829362869	0.11596634238958359	0.08546283841133118	0.08418261259794235	0.02079550176858902	0.03948608785867691	0.20111849904060364	0.07096737623214722	0.09641148149967194	1.2655351161956787	1.2247239351272583	0.31747475266456604	0.512407660484314	2.9506852626800537	1.0445876121520996	1.440504550933838	content
2	0.1	1.1665810346603394	1.1679224967956543	0.05525747686624527	0.9830496311187744	1.3602420091629028	1.1289939880371094	1.2053664922714233	1.3856821060180664	1.3794902563095093	0.09396212548017502	1.1202199459075928	1.6831821203231812	1.312785029411316	1.4504214525222778	0.8454011082649231	0.8461076021194458	0.06547790765762329	0.6408336162567139	1.0983655452728271	0.800940752029419	0.8881716728210449	0.24363431334495544	0.24190232157707214	0.03975687921047211	0.13391414284706116	0.3779653012752533	0.21445131301879883	0.27159568667411804	0.3055403530597687	0.29654768109321594	0.05698120966553688	0.17800335586071014	0.5511831641197205	0.2653663754463196	0.33738186955451965	0.8122914433479309	0.8007604479789734	0.14462201297283173	0.39878982305526733	1.4591560363769531	0.7128626108169556	0.9007707834243774	style
2	0.5	1.1665810346603394	1.1679224967956543	0.05525747686624527	0.9830496311187744	1.3602420091629028	1.1289939880371094	1.2053664922714233	1.3856821060180664	1.3794902563095093	0.09396212548017502	1.1202199459075928	1.6831821203231812	1.312785029411316	1.4504214525222778	0.8454011082649231	0.8461076021194458	0.06547790765762329	0.6408336162567139	1.0983655452728271	0.800940752029419	0.8881716728210449	0.15147769451141357	0.14657600224018097	0.03489752113819122	0.07487508654594421	0.31512972712516785	0.12602868676185608	0.1720094084739685	0.169001504778862	0.1640896052122116	0.037963274866342545	0.08499817550182343	0.3441530466079712	0.1415700912475586	0.19045275449752808	0.9148958921432495	0.889792799949646	0.19808320701122284	0.3817065954208374	1.8325517177581787	0.7775280475616455	1.0230189561843872	style
2	0.9	1.1665810346603394	1.1679224967956543	0.05525747686624527	0.9830496311187744	1.3602420091629028	1.1289939880371094	1.2053664922714233	1.3856821060180664	1.3794902563095093	0.09396212548017502	1.1202199459075928	1.6831821203231812	1.312785029411316	1.4504214525222778	0.8454011082649231	0.8461076021194458	0.06547790765762329	0.6408336162567139	1.0983655452728271	0.800940752029419	0.8881716728210449	0.1045985072851181	0.09858185797929764	0.02914503775537014	0.04882781580090523	0.24854573607444763	0.08417465537786484	0.11818220466375351	0.11081697791814804	0.10785357654094696	0.025390038266777992	0.052231986075639725	0.21804097294807434	0.09232224524021149	0.12730684876441956	0.9619780778884888	0.9326010346412659	0.23250111937522888	0.3786884546279907	2.054577112197876	0.8007960915565491	1.0899752378463745	style
3	0.1	1.2163779735565186	1.2158275842666626	0.05239376053214073	1.0162372589111328	1.3950880765914917	1.1810896396636963	1.2503080368041992	1.4847813844680786	1.4748317003250122	0.11948692798614502	1.1699776649475098	1.8700100183486938	1.3976049423217773	1.5774147510528564	0.8245824575424194	0.8192121982574463	0.07588375359773636	0.6068434119224548	1.0786240100860596	0.7657217383384705	0.8771493434906006	0.2508832514286041	0.24824143946170807	0.039821915328502655	0.14502039551734924	0.4457619786262512	0.2221214920282364	0.2766082286834717	0.33304041624069214	0.32647714018821716	0.056966859847307205	0.2039000540971756	0.6233940124511719	0.2932121157646179	0.3645646274089813	0.7643717527389526	0.7573826313018799	0.12449072301387787	0.41347211599349976	1.229010820388794	0.6779428720474243	0.8440774083137512	style
3	0.5	1.2163779735565186	1.2158275842666626	0.05239376053214073	1.0162372589111328	1.3950880765914917	1.1810896396636963	1.2503080368041992	1.4847813844680786	1.4748317003250122	0.11948692798614502	1.1699776649475098	1.8700100183486938	1.3976049423217773	1.5774147510528564	0.8245824575424194	0.8192121982574463	0.07588375359773636	0.6068434119224548	1.0786240100860596	0.7657217383384705	0.8771493434906006	0.18113979697227478	0.17739884555339813	0.03428574278950691	0.09110922366380692	0.3230128586292267	0.1569174826145172	0.20219506323337555	0.22396905720233917	0.21730424463748932	0.04696354642510414	0.11533163487911224	0.4611912667751312	0.19081822037696838	0.24929004907608032	0.8260367512702942	0.8156338930130005	0.15781958401203156	0.40214869379997253	1.5764554738998413	0.7182250022888184	0.9192273616790771	style
3	0.9	1.2163779735565186	1.2158275842666626	0.05239376053214073	1.0162372589111328	1.3950880765914917	1.1810896396636963	1.2503080368041992	1.4847813844680786	1.4748317003250122	0.11948692798614502	1.1699776649475098	1.8700100183486938	1.3976049423217773	1.5774147510528564	0.8245824575424194	0.8192121982574463	0.07588375359773636	0.6068434119224548	1.0786240100860596	0.7657217383384705	0.8771493434906006	0.14447833597660065	0.14135009050369263	0.029675394296646118	0.07041919231414795	0.2804758846759796	0.12380089610815048	0.16215740144252777	0.16926303505897522	0.16285008192062378	0.0391155369579792	0.08036354929208755	0.3688478171825409	0.1420329511165619	0.18912266194820404	0.8769741058349609	0.8632296323776245	0.188299760222435	0.4116725027561188	1.8647762537002563	0.7473864555358887	0.9892147779464722	style
4	0.1	1.2248756885528564	1.2233978509902954	0.06178272143006325	1.0429818630218506	1.4354572296142578	1.1835086345672607	1.2656358480453491	1.2387615442276	1.222518801689148	0.0973958969116211	1.0001537799835205	1.5600050687789917	1.1715776920318604	1.2906023263931274	0.994530200958252	0.997125506401062	0.08900920301675797	0.7100245952606201	1.320293664932251	0.9363181591033936	1.0542709827423096	0.34114864468574524	0.33998674154281616	0.04360627382993698	0.21512897312641144	0.524215817451477	0.3104563355445862	0.3705369830131531	0.28532645106315613	0.28162556886672974	0.03991931304335594	0.1836942732334137	0.43080341815948486	0.25731104612350464	0.3118249177932739	1.2128335237503052	1.205675482749939	0.19246192276477814	0.6500338315963745	1.9211757183074951	1.0783274173736572	1.3420177698135376	content
