sample_pos	sample_index	font	target_char	ref_idx	style_char	value_mean	value_median	value_std	value_min	value_max	value_q1	value_q3	context_mean	context_median	context_std	context_min	context_max	context_q1	context_q3	raw_style_token_mean	raw_style_token_median	raw_style_token_std	raw_style_token_min	raw_style_token_max	raw_style_token_q1	raw_style_token_q3	same_position_mass	attention_entropy
0	10476	方正字汇-快乐海涛体 简	雌	0	画	0.019431082531809807	0.044075269252061844	0.28740739822387695	-0.7786209583282471	0.7821690440177917	-0.16829361021518707	0.21595580875873566	0.010614290833473206	0.003360501956194639	0.5829609036445618	-1.6751388311386108	1.8039638996124268	-0.39662349224090576	0.3700869679450989	0.0034647202119231224	-0.004684172570705414	0.6042240858078003	-1.9263039827346802	1.6315100193023682	-0.3895208537578583	0.4414752721786499	0.006661904975771904	4.451225757598877
0	10476	方正字汇-快乐海涛体 简	雌	1	溜	0.007588889449834824	0.029879633337259293	0.30120649933815	-0.8352148532867432	0.9357806444168091	-0.18665876984596252	0.2097364366054535	0.024372443556785583	0.035083796828985214	0.6364506483078003	-1.9710502624511719	2.1709001064300537	-0.4186932444572449	0.40513280034065247	-0.01588725484907627	-0.01369503140449524	0.576558530330658	-1.8485320806503296	1.581771969795227	-0.40879130363464355	0.39091750979423523	0.006074442993849516	4.38815975189209
0	10476	方正字汇-快乐海涛体 简	雌	2	赵	0.018125640228390694	0.024558736011385918	0.28686657547950745	-0.9149851202964783	0.9169453382492065	-0.17004331946372986	0.20689955353736877	0.038354430347681046	0.06261096894741058	0.6416017413139343	-2.1946163177490234	2.095646858215332	-0.4212873876094818	0.4623056650161743	-0.0036252792924642563	-0.010846272110939026	0.6269662380218506	-2.0739259719848633	1.6813852787017822	-0.43174809217453003	0.4437532424926758	0.007876373827457428	4.267387390136719
0	10476	方正字汇-快乐海涛体 简	雌	3	惦	0.008934780955314636	0.041800569742918015	0.29738494753837585	-0.9071255922317505	0.8989372253417969	-0.17861557006835938	0.20957259833812714	0.03192968666553497	0.07687298953533173	0.6204351186752319	-2.1615982055664062	2.2978663444519043	-0.4428214430809021	0.4170324206352234	-0.017329441383481026	-0.024720411747694016	0.590927243232727	-1.9063255786895752	1.5096967220306396	-0.40058696269989014	0.4219144284725189	0.007125512696802616	4.275959014892578
0	10476	方正字汇-快乐海涛体 简	雌	4	伯	0.014997425489127636	0.01507989689707756	0.30261239409446716	-0.9195435047149658	0.8890553712844849	-0.19015493988990784	0.23377421498298645	0.02576359733939171	0.04464203119277954	0.5946792364120483	-2.0963542461395264	1.6752252578735352	-0.3761899471282959	0.37752169370651245	0.01406292337924242	0.04058651253581047	0.7144210338592529	-2.199676036834717	1.7627097368240356	-0.44357550144195557	0.5651285648345947	0.007057968992739916	4.319046974182129
0	10476	方正字汇-快乐海涛体 简	雌	5	诀	0.01054111123085022	0.031407538801431656	0.289262056350708	-0.8844426870346069	0.9824756383895874	-0.18285852670669556	0.2021728754043579	0.03938622027635574	0.005197996273636818	0.6479339003562927	-1.7476634979248047	2.04179048538208	-0.35430705547332764	0.46977102756500244	0.013959907926619053	0.03343544527888298	0.6201038360595703	-1.9184397459030151	1.5451200008392334	-0.41905343532562256	0.4602656960487366	0.008236736059188843	4.29769229888916
1	1824	STSONG	毯	0	画	0.018463339656591415	-0.01649421453475952	0.3541211187839508	-0.7847576141357422	0.9118742346763611	-0.25695478916168213	0.2742047905921936	0.010753876529633999	0.01101293507963419	0.5125373005867004	-2.3044233322143555	1.6443710327148438	-0.30913951992988586	0.32604506611824036	-0.034119609743356705	-0.05670200288295746	0.6804213523864746	-2.0686678886413574	1.793244481086731	-0.4936782419681549	0.44970032572746277	0.006379059050232172	4.054597854614258
1	1824	STSONG	毯	1	溜	0.010324149392545223	0.006984733045101166	0.3162263035774231	-0.7473447322845459	0.8740348815917969	-0.20807956159114838	0.2538064122200012	0.009609458036720753	0.024226602166891098	0.4925311803817749	-2.553615093231201	1.5577151775360107	-0.30114316940307617	0.31332993507385254	-0.04105665907263756	-0.017242752015590668	0.5711072683334351	-2.152451992034912	1.3059391975402832	-0.44479304552078247	0.37827998399734497	0.006808252073824406	4.192123889923096
1	1824	STSONG	毯	2	赵	0.005493996664881706	-0.006559969857335091	0.28699052333831787	-0.795965850353241	0.8118441104888916	-0.19906771183013916	0.22565427422523499	0.008176111616194248	-0.0029645031318068504	0.45637062191963196	-2.0206542015075684	1.3237762451171875	-0.2772447168827057	0.316021203994751	-0.04749009758234024	-0.02202596515417099	0.5354326367378235	-2.1042537689208984	1.3652839660644531	-0.40166744589805603	0.3417350947856903	0.009671330451965332	4.190679550170898
1	1824	STSONG	毯	3	惦	0.009797107428312302	-0.00374671071767807	0.30065637826919556	-0.7634077072143555	0.8573695421218872	-0.21106016635894775	0.23580226302146912	0.006461533717811108	0.02215210162103176	0.5121294260025024	-2.3875274658203125	1.4986634254455566	-0.30703839659690857	0.33237019181251526	-0.010254750028252602	0.020168039947748184	0.5933289527893066	-1.9622342586517334	1.5237367153167725	-0.4105951488018036	0.42800354957580566	0.00615900382399559	4.215202331542969
1	1824	STSONG	毯	4	伯	0.010702857747673988	-0.010676205158233643	0.31770774722099304	-0.7205489873886108	0.8881015181541443	-0.2288539856672287	0.24336810410022736	0.005626483354717493	-0.0014716647565364838	0.5094376802444458	-2.2866897583007812	1.451034426689148	-0.28301867842674255	0.3076033592224121	0.0005142027512192726	0.041254922747612	0.6571717262268066	-2.1979308128356934	1.7844741344451904	-0.44994863867759705	0.46521806716918945	0.00839779619127512	4.026101589202881
1	1824	STSONG	毯	5	诀	0.009542630985379219	-0.0062518976628780365	0.2831958532333374	-0.7662367820739746	0.8762693405151367	-0.1933422088623047	0.22737649083137512	0.0032735937274992466	0.016757715493440628	0.4944571852684021	-2.1568737030029297	1.449737310409546	-0.28946539759635925	0.2800789773464203	-0.017075305804610252	0.04567404463887215	0.560104489326477	-2.071606159210205	1.3411741256713867	-0.39997559785842896	0.3816545307636261	0.007258492521941662	4.168566703796387
2	409	STFANGSO	蛤	0	画	0.030984235927462578	0.04472048580646515	0.3323225975036621	-0.8558164834976196	1.0053787231445312	-0.17927101254463196	0.26019734144210815	0.004606288857758045	-0.04459073394536972	0.5450802445411682	-1.5825905799865723	1.499747633934021	-0.3726242482662201	0.3827303647994995	-0.027257677167654037	0.014104858040809631	0.6080864667892456	-1.6856693029403687	1.4934659004211426	-0.48414212465286255	0.40134167671203613	0.005962541326880455	4.267018795013428
2	409	STFANGSO	蛤	1	溜	0.022450163960456848	0.054892878979444504	0.3067999482154846	-0.8172347545623779	0.9039234519004822	-0.19259817898273468	0.22185176610946655	0.006258020177483559	-0.018368462100625038	0.553862988948822	-1.5215873718261719	1.8276703357696533	-0.33986347913742065	0.38647225499153137	-0.025987733155488968	0.00863509252667427	0.5752891302108765	-1.7349179983139038	1.3696990013122559	-0.43253999948501587	0.38869792222976685	0.008737489581108093	4.203356742858887
2	409	STFANGSO	蛤	2	赵	0.02035357803106308	0.03167656064033508	0.2942720651626587	-0.7883082628250122	1.0344377756118774	-0.18617676198482513	0.2461845576763153	-0.011715708300471306	-0.028463520109653473	0.4697682857513428	-1.4963970184326172	1.3671143054962158	-0.3138493001461029	0.3025374710559845	-0.030852826312184334	0.0037427470088005066	0.5915836691856384	-1.9145798683166504	1.4410274028778076	-0.45059773325920105	0.4045215845108032	0.007509936112910509	4.130857467651367
2	409	STFANGSO	蛤	3	惦	0.02312082052230835	0.027331165969371796	0.3284998834133148	-0.9133779406547546	0.9582858085632324	-0.18975824117660522	0.23762816190719604	0.0017219064757227898	0.020694255828857422	0.5548580884933472	-1.898303747177124	1.4042633771896362	-0.3697870075702667	0.38233888149261475	-0.033938366919755936	0.011951468884944916	0.586617648601532	-1.686072587966919	1.4590003490447998	-0.49277758598327637	0.40621858835220337	0.012360095977783203	4.117044925689697
2	409	STFANGSO	蛤	4	伯	0.022597650066018105	0.04831685125827789	0.30055588483810425	-0.8045685291290283	0.9066540002822876	-0.17559143900871277	0.2349528819322586	0.006614465266466141	0.02692645601928234	0.49736282229423523	-1.4501678943634033	1.5089545249938965	-0.3347116708755493	0.3276650011539459	0.0013252031058073044	0.04671991616487503	0.6013515591621399	-1.7722474336624146	1.4558522701263428	-0.46200859546661377	0.4238998293876648	0.008590655401349068	4.139629364013672
2	409	STFANGSO	蛤	5	诀	0.02646028622984886	0.04629545658826828	0.28893381357192993	-0.7628921270370483	1.0528113842010498	-0.16958239674568176	0.23461344838142395	0.0029033608734607697	0.013630100525915623	0.5170840620994568	-1.5555975437164307	1.3638190031051636	-0.33175745606422424	0.3449553847312927	-0.01528546866029501	0.014707237482070923	0.5989803075790405	-1.8979344367980957	1.3504714965820312	-0.45566561818122864	0.41722655296325684	0.008281474933028221	4.081552505493164
3	12149	方正字迹-童体毛笔字体	蟀	0	画	0.01904469169676304	0.03636477142572403	0.2637767493724823	-0.8179340958595276	0.8243321180343628	-0.1708063781261444	0.1847226768732071	-0.032450124621391296	-0.0430314764380455	0.4343762993812561	-1.189488172531128	1.229085922241211	-0.3301864266395569	0.25939440727233887	-0.02426038682460785	-0.0059545040130615234	0.5576004981994629	-2.0733165740966797	1.3745898008346558	-0.4096258282661438	0.33720073103904724	0.004848535172641277	4.171733856201172
3	12149	方正字迹-童体毛笔字体	蟀	1	溜	0.02087179757654667	0.017483823001384735	0.24246583878993988	-0.5789751410484314	0.7430063486099243	-0.15601378679275513	0.18669761717319489	0.0008411305025219917	-0.0017465241253376007	0.4937628507614136	-1.5169928073883057	1.710281252861023	-0.27732059359550476	0.3009597063064575	-0.035250283777713776	-0.04435691982507706	0.4572164714336395	-1.6221835613250732	1.404236078262329	-0.34902745485305786	0.25863057374954224	0.0061676339246332645	4.404487609863281
