sample_index	font	target_char	style_chars	value_cosine_offdiag_mean	value_cosine_offdiag_median	value_cosine_offdiag_std	value_cosine_offdiag_min	value_cosine_offdiag_max	value_cosine_offdiag_q1	value_cosine_offdiag_q3	context_cosine_offdiag_mean	context_cosine_offdiag_median	context_cosine_offdiag_std	context_cosine_offdiag_min	context_cosine_offdiag_max	context_cosine_offdiag_q1	context_cosine_offdiag_q3	raw_style_token_cosine_offdiag_mean	raw_style_token_cosine_offdiag_median	raw_style_token_cosine_offdiag_std	raw_style_token_cosine_offdiag_min	raw_style_token_cosine_offdiag_max	raw_style_token_cosine_offdiag_q1	raw_style_token_cosine_offdiag_q3
10476	方正字汇-快乐海涛体 简	雌	画,溜,赵,惦,伯,诀	0.9175721406936646	0.9199674725532532	0.024436742067337036	0.8777463436126709	0.9737895131111145	0.8998894095420837	0.9298068881034851	0.9090333580970764	0.9067650437355042	0.019156867638230324	0.8671900033950806	0.940240740776062	0.9008630514144897	0.9258931279182434	0.9684327840805054	0.9670263528823853	0.00961343478411436	0.9515682458877563	0.9910838603973389	0.9634352326393127	0.9742544293403625
1824	STSONG	毯	画,溜,赵,惦,伯,诀	0.9419715404510498	0.9426048994064331	0.023678798228502274	0.8858374357223511	0.9689787030220032	0.9349313974380493	0.9587715864181519	0.9277786016464233	0.9287779927253723	0.02147107757627964	0.8881704211235046	0.9618328213691711	0.912006139755249	0.9469486474990845	0.9643371105194092	0.9662920832633972	0.01649276167154312	0.9224358797073364	0.982886552810669	0.9624929428100586	0.9784693717956543
409	STFANGSO	蛤	画,溜,赵,惦,伯,诀	0.9495823979377747	0.9511925578117371	0.013959209434688091	0.9184281229972839	0.9790926575660706	0.9419775009155273	0.9578557014465332	0.9368972778320312	0.9354725480079651	0.01721874624490738	0.9020613431930542	0.9643101692199707	0.9246369004249573	0.9515616297721863	0.9725131988525391	0.972948431968689	0.008991707116365433	0.9500699043273926	0.9901887774467468	0.9688724279403687	0.9776039719581604
12149	方正字迹-童体毛笔字体	蟀	画,溜,赵,惦,伯,诀	0.8857758641242981	0.8787010908126831	0.03493806719779968	0.8330076932907104	0.9554525017738342	0.85670006275177	0.9161725044250488	0.7706491351127625	0.8085876107215881	0.09572313725948334	0.524543285369873	0.891456127166748	0.7081640958786011	0.845940887928009	0.9450264573097229	0.9466379880905151	0.015686456114053726	0.9136097431182861	0.9768356084823608	0.9348952174186707	0.952629804611206
4506	方正三宝体 简_Xian	邮	画,溜,赵,惦,伯,诀	0.957179069519043	0.962049126625061	0.0150081692263484	0.9142818450927734	0.9740618467330933	0.9497012495994568	0.9694282412528992	0.8697184920310974	0.8818098306655884	0.04831917583942413	0.7698104977607727	0.938861608505249	0.8392279148101807	0.9092901349067688	0.974665105342865	0.976151704788208	0.008579472079873085	0.9564369916915894	0.988324761390686	0.968506395816803	0.9824937582015991
4012	方正三宝体 简_Xian	窜	画,溜,赵,惦,伯,诀	0.957179069519043	0.962049126625061	0.0150081692263484	0.9142818450927734	0.9740618467330933	0.9497012495994568	0.9694282412528992	0.8868290185928345	0.8790081143379211	0.03135612979531288	0.8221352696418762	0.9366196990013123	0.8635343313217163	0.9063829183578491	0.974665105342865	0.976151704788208	0.008579472079873085	0.9564369916915894	0.988324761390686	0.968506395816803	0.9824937582015991
3657	方正FW童趣POP体 简	鬓	画,溜,赵,惦,伯,诀	0.8916042447090149	0.8903024196624756	0.020246779546141624	0.8424891829490662	0.9212507009506226	0.8796327114105225	0.9035385251045227	0.7896842360496521	0.7730086445808411	0.04701901599764824	0.7178502082824707	0.8663410544395447	0.7518883943557739	0.8293749094009399	0.9455708861351013	0.9471389651298523	0.010591952130198479	0.927082896232605	0.9642809629440308	0.9352353811264038	0.9505244493484497
2286	STXIHEI	饿	画,溜,赵,惦,伯,诀	0.9336546659469604	0.9366987347602844	0.019719844684004784	0.9013698101043701	0.9708700180053711	0.9191324710845947	0.9485869407653809	0.9008191227912903	0.9074011445045471	0.03660930320620537	0.8050235509872437	0.9522583484649658	0.8807961940765381	0.9276421666145325	0.9534046649932861	0.9585870504379272	0.018361546099185944	0.9068318605422974	0.9740369319915771	0.9432067275047302	0.969643771648407
12066	方正字迹-童体毛笔字体	啊	画,溜,赵,惦,伯,诀	0.8857758641242981	0.8787010908126831	0.03493806719779968	0.8330076932907104	0.9554525017738342	0.85670006275177	0.9161725044250488	0.753086268901825	0.7807451486587524	0.09692706912755966	0.5098451375961304	0.8721256256103516	0.6887018084526062	0.8349834084510803	0.9450264573097229	0.9466379880905151	0.015686456114053726	0.9136097431182861	0.9768356084823608	0.9348952174186707	0.952629804611206
1679	STSONG	鹊	画,溜,赵,惦,伯,诀	0.9419715404510498	0.9426048994064331	0.023678798228502274	0.8858374357223511	0.9689787030220032	0.9349313974380493	0.9587715864181519	0.9342654943466187	0.9285815358161926	0.018397502601146698	0.9036344885826111	0.9602178931236267	0.9212648868560791	0.9518999457359314	0.9643371105194092	0.9662920832633972	0.01649276167154312	0.9224358797073364	0.982886552810669	0.9624929428100586	0.9784693717956543
11087	方正字汇-羊驼体 简	艾	画,溜,赵,惦,伯,诀	0.9248630404472351	0.9225161671638489	0.026413341984152794	0.8869010806083679	0.9634571075439453	0.8992570638656616	0.9561425447463989	0.9133894443511963	0.9241558909416199	0.026490483433008194	0.8743276596069336	0.9562289118766785	0.8875923752784729	0.9320909380912781	0.9680567979812622	0.969127893447876	0.012246962636709213	0.9431199431419373	0.9876048564910889	0.9682482481002808	0.9747796058654785
12135	方正字迹-童体毛笔字体	盈	画,溜,赵,惦,伯,诀	0.8857758641242981	0.8787010908126831	0.03493806719779968	0.8330076932907104	0.9554525017738342	0.85670006275177	0.9161725044250488	0.769138514995575	0.8202173113822937	0.09714169055223465	0.5162050127983093	0.8890408277511597	0.7036392688751221	0.8408209085464478	0.9450264573097229	0.9466379880905151	0.015686456114053726	0.9136097431182861	0.9768356084823608	0.9348952174186707	0.952629804611206
