sample_pos	sample_index	font	target_char	group_idx	style_chars	normal_vs_trimmed_cosine	l1	rmse	max_abs	relative_l1_to_normal_abs_mean
0	192158	方正水柱简体	更	0	伶镰暇心仰聪	0.9967474937438965	0.03965379297733307	0.05475902184844017	0.33056640625	0.07671703398227692
0	192158	方正水柱简体	更	1	速遍地膏水罕	0.9979507923126221	0.03087252750992775	0.04114174470305443	0.3818868100643158	0.06090935319662094
0	192158	方正水柱简体	更	2	盯峦而屯灭欢	0.9980919361114502	0.032010503113269806	0.04349346458911896	0.34610113501548767	0.05817926302552223
0	192158	方正水柱简体	更	3	多典口蛆焰托	0.9978379011154175	0.035853780806064606	0.04810746759176254	0.2855631113052368	0.06506159156560898
0	192158	方正水柱简体	更	4	糕育伞绅示岳	0.9982873797416687	0.030664484947919846	0.04061279445886612	0.26214599609375	0.05588153004646301
0	192158	方正水柱简体	更	5	粥评绝屿蠢炫	0.9980523586273193	0.03189591318368912	0.04247458279132843	0.2660929262638092	0.059307169169187546
0	192158	方正水柱简体	更	6	些渗灼扇翻啡	0.9982198476791382	0.02983708679676056	0.039362069219350815	0.2474161833524704	0.05690395087003708
0	192158	方正水柱简体	更	7	携畔纤站收剖	0.9985610246658325	0.028736421838402748	0.038489531725645065	0.2632242739200592	0.05032292753458023
1	73194	方正兰亭黑长简体	榆	0	旧丝宫飞涯鲸	0.99854576587677	0.032887063920497894	0.04350895434617996	0.325927734375	0.05464194342494011
1	73194	方正兰亭黑长简体	榆	1	厅志旦垃火毯	0.9985091686248779	0.03178403899073601	0.04254620149731636	0.27555346488952637	0.055478569120168686
1	73194	方正兰亭黑长简体	榆	2	侣见玉再沾喻	0.998729407787323	0.03110676072537899	0.04185887426137924	0.26846566796302795	0.04962143301963806
1	73194	方正兰亭黑长简体	榆	3	丁云一吟酬容	0.9963873028755188	0.043823305517435074	0.060192812234163284	0.47802734375	0.08960667252540588
1	73194	方正兰亭黑长简体	榆	4	蔫潘静谊念蜒	0.9987945556640625	0.030176673084497452	0.04078326001763344	0.2763671875	0.04828697443008423
1	73194	方正兰亭黑长简体	榆	5	掷髓哄乾迟拴	0.9991812109947205	0.02514290064573288	0.033144112676382065	0.25740551948547363	0.040301647037267685
1	73194	方正兰亭黑长简体	榆	6	导亦芋扇奄州	0.9986201524734497	0.031928978860378265	0.044026900082826614	0.3005778193473816	0.0511244498193264
1	73194	方正兰亭黑长简体	榆	7	彰米尔市纳驮	0.9988486170768738	0.028084667399525642	0.03743475675582886	0.23111963272094727	0.047496598213911057
2	233303	方正粗黑宋简体	它	0	直辽既伍路惦	0.9990106225013733	0.024633413180708885	0.03306152671575546	0.228424072265625	0.043931279331445694
2	233303	方正粗黑宋简体	它	1	省遵真邓甘鬓	0.9985823631286621	0.027729686349630356	0.03678947314620018	0.24715173244476318	0.05318383499979973
2	233303	方正粗黑宋简体	它	2	遗千箭芒隔眨	0.9986907839775085	0.027567964047193527	0.03718653321266174	0.3399192690849304	0.05020807683467865
2	233303	方正粗黑宋简体	它	3	子剿且悠况吧	0.9978998899459839	0.03241988271474838	0.044668734073638916	0.3033714294433594	0.06260057538747787
2	233303	方正粗黑宋简体	它	4	熊冈妙帆罩益	0.9985676407814026	0.02824769914150238	0.03737968951463699	0.23797607421875	0.054050054401159286
2	233303	方正粗黑宋简体	它	5	但酬玉驮罚哩	0.9986639618873596	0.02861044928431511	0.03824100270867348	0.229736328125	0.051720522344112396
2	233303	方正粗黑宋简体	它	6	非平晌回厘鹊	0.9990896582603455	0.024532217532396317	0.03241969272494316	0.21327972412109375	0.04254581779241562
2	233303	方正粗黑宋简体	它	7	耸现弧培豆侣	0.9989333152770996	0.02622278593480587	0.03487567603588104	0.23356127738952637	0.04617942124605179
3	157222	方正敬酷黑 简	且	0	溜毛地纵蹲李	0.9990506172180176	0.0274689681828022	0.036436546593904495	0.23600268363952637	0.04254752770066261
3	157222	方正敬酷黑 简	且	1	鬓弦鸯漱杰跃	0.998568058013916	0.03254939243197441	0.04358332231640816	0.27958178520202637	0.05456740781664848
3	157222	方正敬酷黑 简	且	2	燕仙已省髓携	0.9989429116249084	0.028822965919971466	0.0380893312394619	0.25	0.045380618423223495
3	157222	方正敬酷黑 简	且	3	膏爽炫取起哑	0.998482882976532	0.03360558673739433	0.04548335075378418	0.28401684761047363	0.05437994748353958
3	157222	方正敬酷黑 简	且	4	南伶大帆念弧	0.9988072514533997	0.02891683764755726	0.038337815552949905	0.33296704292297363	0.047768015414476395
3	157222	方正敬酷黑 简	且	5	轮抡剔抑枯表	0.9990158081054688	0.02748011238873005	0.037254709750413895	0.25341796875	0.042824096977710724
3	157222	方正敬酷黑 简	且	6	灿鲫多刃饥胃	0.998477578163147	0.034226082265377045	0.045419834554195404	0.27001953125	0.054801590740680695
3	157222	方正敬酷黑 简	且	7	打侈坠烛蜒现	0.9989287257194519	0.030013002455234528	0.04045712947845459	0.22696936130523682	0.04606761783361435
4	191991	方正水云简体_纤	书	0	逾灵副率痘烛	0.998920738697052	0.0289907269179821	0.03906743973493576	0.26373291015625	0.0460074320435524
4	191991	方正水云简体_纤	书	1	墅团彰悍政吧	0.9990493059158325	0.027606774121522903	0.036856938153505325	0.25146484375	0.04392598941922188
4	191991	方正水云简体_纤	书	2	陆队苗彰滋酬	0.9990204572677612	0.027636991813778877	0.03661024570465088	0.2292633056640625	0.04504001885652542
4	191991	方正水云简体_纤	书	3	匠刺忠啦喻岳	0.9991328716278076	0.026612820103764534	0.035785697400569916	0.2030029296875	0.04127344489097595
4	191991	方正水云简体_纤	书	4	鹿删缨阶蘸鞋	0.9990366697311401	0.02824537456035614	0.037766240537166595	0.2397053837776184	0.04382721334695816
4	191991	方正水云简体_纤	书	5	政屁写即遂乖	0.9990513324737549	0.028014153242111206	0.03681362047791481	0.22884130477905273	0.04453236609697342
4	191991	方正水云简体_纤	书	6	井卵廉罕铝箭	0.9988555312156677	0.03023582324385643	0.04051314294338226	0.21875	0.047664616256952286
4	191991	方正水云简体_纤	书	7	愿绅甲伦多凿	0.998407781124115	0.034856993705034256	0.04700423777103424	0.3169352412223816	0.05731240659952164
