sample_index	font	target_char	style_chars	normal_context_vs_content_flat_cos	normal_context_vs_content_token_cos_mean	normal_context_vs_raw_style_mean_flat_cos	normal_context_vs_raw_style_mean_token_cos_mean	trimmed_context_vs_content_flat_cos	trimmed_context_vs_content_token_cos_mean	trimmed_context_vs_raw_style_mean_flat_cos	trimmed_context_vs_raw_style_mean_token_cos_mean	normal_vs_trimmed_flat_cos	normal_vs_trimmed_l1
192158	方正水柱简体	更	唱了笆观节击	0.03761269897222519	0.03703540563583374	-0.008301377296447754	-0.003963964059948921	0.037955112755298615	0.0372922457754612	-0.00661173090338707	-0.00257607433013618	0.9970031380653381	0.037988267838954926
73194	方正兰亭黑长简体	榆	斋厅甩墅赵蹭	0.01580774039030075	0.029490724205970764	-0.024883687496185303	-0.017029056325554848	0.016169298440217972	0.030030375346541405	-0.024018339812755585	-0.016330765560269356	0.9990924000740051	0.02651526778936386
233303	方正粗黑宋简体	它	鲫苛驱夕星涉	0.031206902116537094	0.04370037466287613	0.0023129605688154697	0.007006956730037928	0.03149626404047012	0.0440349206328392	0.0023049877490848303	0.007248371373862028	0.9984220266342163	0.030245089903473854
157222	方正敬酷黑 简	且	炫膏蛤巧铡芯	0.07352651655673981	0.07242234796285629	-0.0020455224439501762	-0.004191920161247253	0.07258002460002899	0.07186610996723175	-0.002535557374358177	-0.004546046257019043	0.9985846281051636	0.033288829028606415
191991	方正水云简体_纤	书	更趾棠欧卢申	-0.02187720686197281	-0.011865413747727871	-0.02730664797127247	-0.02823854237794876	-0.02123369090259075	-0.011208164505660534	-0.02653052844107151	-0.027362413704395294	0.9990831613540649	0.026951324194669724
241059	方正细金陵简体	泌	挥氏说俱二呈	-0.001454399898648262	-0.0018445951864123344	-0.025859316810965538	-0.028086332604289055	-0.002634204924106598	-0.004466201178729534	-0.023712532594799995	-0.026027539744973183	0.997523307800293	0.03571996092796326
37593	华康楷体W5-A	蚀	众妒灭俱渗驱	-0.02638116106390953	-0.03033391386270523	-0.0017625871114432812	-0.004288365598767996	-0.026257868856191635	-0.0299314446747303	-0.0027650613337755203	-0.005083479452878237	0.998673677444458	0.028250545263290405
122753	方正字汇-龙龙秀楷体 简	真	趾塔旺洲经亮	-0.0111948037520051	-0.01441645622253418	0.015496954321861267	0.013801072724163532	-0.01245467271655798	-0.016098104417324066	0.015434440225362778	0.01362313237041235	0.9981173872947693	0.03216639161109924
32555	书体坊郑板桥体 简	咆	川牛迎地云弧	0.008590996265411377	0.003467997070401907	-0.004607403185218573	-0.006523220334202051	0.009160814806818962	0.003727593459188938	-0.004497532267123461	-0.0063277422450482845	0.996932864189148	0.036294348537921906
227062	方正粗圆简体	邢	伤壮隐沿草欢	0.05060708522796631	0.052859485149383545	-0.022893710061907768	-0.021819282323122025	0.050133831799030304	0.052316226065158844	-0.02367660030722618	-0.02235686220228672	0.9988865256309509	0.03154568001627922
19765	SourceHanSansCN-Light#1	谱	垂枢木瘤壶域	0.007589876651763916	0.0188668854534626	-0.01213828008621931	-0.0051218317821621895	0.007661821320652962	0.019076388329267502	-0.011147944256663322	-0.004367644898593426	0.9989906549453735	0.031039126217365265
151321	方正快盈体 简繁 ExtraBold	细	立鹿缸钝蟋轮	0.044710345566272736	0.04307959973812103	0.0021283701062202454	0.0006243656389415264	0.0447135791182518	0.04296061024069786	0.0014819377101957798	6.735185161232948e-05	0.9984885454177856	0.02811867743730545
212058	方正盈利体简体 Medium	吧	亮唱茸当眷驰	0.0007501635700464249	-0.011027436703443527	-0.01515105552971363	-0.017763933166861534	7.883645594120026e-06	-0.011576090008020401	-0.017049817368388176	-0.019584747031331062	0.9975751638412476	0.04028746485710144
161051	方正新综艺黑 简	忆	剑四王讹俭牌	0.0024690250866115093	-0.0019824178889393806	-0.025202982127666473	-0.02490103989839554	0.002486026380211115	-0.0012820307165384293	-0.023392286151647568	-0.023118723183870316	0.9977948665618896	0.04085167497396469
146598	方正彩源体简体	默	零憎抬计忠论	0.01068115234375	0.00571618415415287	-0.005539535079151392	-0.002516681794077158	0.011244034394621849	0.006321229040622711	-0.005766501650214195	-0.0027963703032583	0.998436450958252	0.028783250600099564
284488	方正风入松体 简	但	计歧些歹鲤服	-0.037225544452667236	-0.044510215520858765	-0.026820145547389984	-0.028055237606167793	-0.03608696535229683	-0.04337400943040848	-0.027475066483020782	-0.02859470807015896	0.998491644859314	0.030355820432305336
5514	MiSans-ExtraLight	泛	鲸烹殴聊除帐	0.008337875828146935	0.013082493096590042	-0.017881054431200027	-0.01651569828391075	0.008170310407876968	0.01267484575510025	-0.01777149736881256	-0.01638171449303627	0.9991456270217896	0.02660370245575905
107941	方正字汇-小组长体 简	无	希宜肾孔焰铭	-0.008788705803453922	-0.00893925316631794	-0.022499218583106995	-0.034495048224925995	-0.00836557149887085	-0.008275976404547691	-0.022950612008571625	-0.03533182665705681	0.9981327056884766	0.03210597485303879
257873	方正藏体简体	唱	酬石惕肾粒愚	0.02819749340415001	0.0269335824996233	0.004065408371388912	0.00369166093878448	0.027485443279147148	0.026094110682606697	0.002739020623266697	0.002616447862237692	0.9984160661697388	0.02820354700088501
177543	方正楼兰体 简 ExtraBold	拄	饿甫楣岖骡吓	0.0450361967086792	0.030139481648802757	-0.012445825152099133	-0.01462866272777319	0.04514379799365997	0.03021571785211563	-0.012953633442521095	-0.015145041979849339	0.9987385272979736	0.026288313791155815
24161	SourceHanSerifCN-Regular	屎	枣哈圆川喘轮	0.005183965899050236	0.007287874352186918	-0.027093730866909027	-0.024261511862277985	0.004768854007124901	0.006629244424402714	-0.0268087275326252	-0.023875756189227104	0.9977149963378906	0.040919139981269836
247058	方正罗曼斜体 简-R	吧	收茴靴伞逆扇	-0.01735442690551281	-0.026877248659729958	-0.012625355273485184	-0.020953930914402008	-0.017092691734433174	-0.026592833921313286	-0.012299850583076477	-0.02065359055995941	0.9995490312576294	0.0212191641330719
1983	GF_ofl_notosanssc_NotoSansSC[wght]	阵	批捶喻舅政子	-0.000988511717878282	0.00030608312226831913	0.01205684058368206	0.009740868583321571	-0.0007097900379449129	0.0007246730965562165	0.011382749304175377	0.009007507935166359	0.9988365173339844	0.033735744655132294
267520	方正达利体简体 Bold	芯	出伍疙睡窒由	0.028791479766368866	0.025017039850354195	-0.004911612253636122	-0.006373592186719179	0.028909239917993546	0.02526111900806427	-0.005018953233957291	-0.006257198750972748	0.9985772967338562	0.029933825135231018
188082	方正水云简体_中	耻	支舱儡绘巴尚	0.05574341490864754	0.06098958104848862	-0.010041448287665844	-0.007897698320448399	0.055864058434963226	0.06089473515748978	-0.00894254446029663	-0.006837660446763039	0.9988598823547363	0.030663151293992996
55871	方正公文仿宋	已	羊舀汽叶翩土	-0.024451138451695442	-0.020614374428987503	-0.029122505336999893	-0.02998630329966545	-0.023351319134235382	-0.019555572420358658	-0.02774203009903431	-0.028330722823739052	0.998499870300293	0.02856960892677307
195190	方正活龙体 简 Bold	涝	副介五囤燃吨	0.0026846176479011774	-0.0012532791588455439	0.016147565096616745	0.021477382630109787	0.0026106557343155146	-0.0011616293340921402	0.016186274588108063	0.02149830386042595	0.997860312461853	0.03403410315513611
215070	方正盛世楷书简体_Cu	殴	囚蚯剑且血蔫	0.016812942922115326	0.012734820134937763	-0.0008447896689176559	0.002109428634867072	0.017262840643525124	0.013124593533575535	-0.0004932396113872528	0.0025283994618803263	0.9991525411605835	0.02365381270647049
251609	方正胖娃简体	鬼	吝趾愕仑翩延	0.02083233930170536	0.022541683167219162	-0.017897214740514755	-0.018268348649144173	0.02139006182551384	0.023059915751218796	-0.018284881487488747	-0.01863444223999977	0.998289942741394	0.028027484193444252
